"challenge_id","question_id","question_text","answer_id","answer_text"
232,1024,What value is given for the record-setting speed achieved during sea trials after modernization?,1024,35.2 knots
232,1025,"Besides Trippe, which ship name appears in the statement about the first operational transit after reopening?",1025,Joseph Hewes
232,1026,"In the opening description, what ship-type phrase follows ""USS New Jersey (BB-62) is an""?",1026,Iowa-class battleship
232,1027,Why was New Jersey selected for this task (as stated in the text)?,1027,she was in better material condition than her sisters
232,1028,"The 1997 recommendation was ""contingent upon"" what action?",1028,the transfer of the battleship to New Jersey waters
233,1029,"For pouchong tea, what numeric range is stated for the fermentation?",1029,between 8 and 12%
233,1030,Which health spa is named as the source of the free hospitality?,1030,Champneys
233,1031,What is the parenthesized name given for the papal bull?,1031,Inter gravissimas
233,1032,What date is stated as the official birthdate registered with the international boxing association?,1032,"January 26, 1988"
233,1033,"Which three-word phrase appears after the line ""My true love gave to me:"" on the eleventh day of Christmas?",1033,Eleven pipers piping
234,1034,"In the first dialogue, how many times were they nominated?",1034,twice
234,1035,What time does Max say his flight is?,1035,11
234,1036,What is the new email address provided by Linden?,1036,linden@gmail.be
234,1037,Where will the notes be left for Binni to pick up?,1037,my mom
234,1038,"In Konrad’s message about being a triplet, which brother’s name appears after Wojtek?",1038,Piotrek
235,1039,"In the Propaganda Techniques Corpus (PTC) dataset, how many news articles are in the training set?",1039,350
235,1040,Which team name is stated for participation in the task?,1040,ProperGander
235,1041,From which word is the term `propaganda' said to derive?,1041,propagare
235,1042,"In the sentence beginning ""With p-value less than ..."", what p-value threshold is stated?",1042,0.05
235,1043,What placement is stated for the fragment level task?,1043,7th
236,1044,How many bits does an octet consist of?,1044,eight bits
236,1045,"Fill the blank with the exact two-word phrase: ""A tittle or ____ is a small distinguishing mark"".",1045,superscript dot
236,1046,"Fill the blank with the single word: ""...but not when the diacritic appears ____ (as į, ɉ).""",1046,elsewhere
236,1047,"Which name completes the sentence: ""The god ____ bestowed upon Janus this ability to see into the future and past.""?",1047,Saturn
236,1048,"Fill the blank with the single word: ""...two separate communities: one Anglophone and one ____.""",1048,Francophone
237,1049,Which year appears in the act name immediately before “(ERISA)”?,1049,1974
237,1050,What is the quoted term for transferring accounts out of the plan without the participant’s consent?,1050,forced transfer
237,1051,What is the stated general time limit for distributing assets after plan termination?,1051,1 year
237,1052,What withholding rate is specified for transfers to a bank or a state unclaimed property fund?,1052,20 percent
237,1053,In how many field offices is the outreach program described as operating?,1053,13 field offices
238,1054,How many pictures are stated to have the word `baby' in it?,1054,697
238,1055,What is the parenthesized abbreviation that follows the named research organization supporting the work?,1055,NWO
238,1056,Which term is explicitly defined with the quoted phrase beginning “a systematic asymmetry in word choice ...”?,1056,linguistic bias
238,1057,"In the enumerated list of two kinds of verbal behavior, what is the (ii) item?",1057,unwarranted inferences
238,1058,The text states that ethnicity/race of babies doesn't seem to be mentioned unless the baby is what?,1058,black or asian
239,1059,How long did the show run for?,1059,six weeks
239,1060,Whose supreme command is mentioned for the troop mobilization on 19 May?,1060,Prince Albert
239,1061,"In Dominican Vodou, what is a ceremony with Palos usually referred to as?",1061,a Fiesta de Palo
239,1062,Who overturned the decision the following day?,1062,an independent Football Association panel
239,1063,What is stated as the reason Homer was deemed impossible to insure?,1063,poor medical history
240,1064,"According to the statement about how long the Giza Necropolis was built, what span is given?",1064,85 years
240,1065,What acronym appears in parentheses after the organization name Ancient Egypt Research Associates?,1065,AERA
240,1066,What quoted epithet is listed for Osiris alongside being judge and lord of the dead and the underworld?,1066,Lord of Silence
240,1067,"In the sentence stating what the underworld is made solely for, who is it made for?",1067,the dead
240,1068,"In the line saying various sources use either one term or another, which term comes after “wild animals”?",1068,flies
241,1069,How long was the Queen in exile?,1069,30 years
241,1070,What business in Damascus did Adib Kheir own?,1070,Librairie Universelle
241,1071,What role is Heather Denise Gibson currently serving as at the Bank of Greece?,1071,Director-Advisor
241,1072,What was the Telugu remake title of the film Jimmy Gallu?,1072,Muddayi
241,1073,On what date was the religious marriage ceremony of Maria Teresa and Prince Henri of Luxembourg?,1073,14 February 1981
242,1074,What year is given for when the origin of the formal separation rule can be traced to?,1074,1835
242,1075,Section 3(a) is stated as part of what resolution?,1075,H.Res. 5
242,1076,Who is named as the sole definitive authority on questions relating to precedents and procedures?,1076,House Parliamentarian
242,1077,The applicability of the separate order is stated as extended under what numbered section?,1077,Section 5
242,1078,This separate order was not adopted for which Congress?,1078,116 th Congress
243,1079,What is the death date given for Frederick in the sentence stating he died in Gottorp?,1079,10 April 1533
243,1080,Which named person is identified as Frederick's general in the line about moving an army to Scania?,1080,Johann Rantzau
243,1081,"What parenthetical term appears immediately after the word ""protector"" in the coronation charter sentence?",1081,værner
243,1082,"In the sentence spanning 1684 to 1705, what is the stated number of pregnancies?",1082,19 pregnancies
243,1083,"In Christine of Mecklenburg-Güstrow's sibling list sentence beginning with ""Marie"", how many siblings are stated to have survived to adulthood?",1083,eight
244,1084,"What elevation value is shown after the text ""Khatling Glacier (elevation""?",1084,"3,717 m"
244,1085,"Which person appears immediately after the words ""Dutch explorer""?",1085,Robert Jacob Gordon
244,1086,"In Passage 3, Khan is described as what kind of river?",1086,an ephemeral river
244,1087,"In the sentence that begins with ""Except for"", which place name is mentioned?",1087,Upington
244,1088,"In the opening line of Passage 4, what is Namibia officially called?",1088,Republic of Namibia
245,1089,What approximate count is given for general acute care hospitals located in areas meeting FORHP’s rural definition (in 2017)?,1089,"2,250"
245,1090,In what year was FORHP established?,1090,1987
245,1091,How many rural hospital payment designations does CMS administer?,1091,five
245,1092,"Complete the quoted text exactly: “With the exception of ___,”",1092,Critical Access Hospitals
245,1093,Which contact option is an email address (for questions about the report)?,1093,cosgrovej@gao.gov
246,1094,"Which number appears after the phrase ""threshold of"" in the gradient clipping statement?",1094,10
246,1095,"What is the alphanumeric code given after the word ""grant"" in the support line mentioning Deutsche Forschungsgemeinschaft?",1095,SCHU 2246/4-2
246,1096,"Which term is directly defined by the sentence stating it ""is the task of assigning sentences with two marked entities to a predefined set of relations""?",1096,Relation classification
246,1097,"In the tie-handling rule for the voting process, what single word describes how the class is picked?",1097,randomly
246,1098,What numeric value is stated for the initial learning rate associated with the RNN?,1098,0.01
247,1099,What duration is given for Fox being silent after the call?,1099,two days
247,1100,Which person is named after the phrase “told Variety’s”?,1100,Jenelle Riley
247,1101,What two-word reason is given for not being aware of his background?,1101,legal limitations
247,1102,What phrase did Munn tweet to describe why she was still promoting the film?,1102,contractually obligated
247,1103,"In Passage 1, which word completes the statement “He served six months in”?",1103,jail
248,1104,"In Passage 1, what year is stated for the Hong Kong film that is also known as Kungfu Warlord?",1104,1977
248,1105,"In Passage 2, what title is given as an alternate name for Little Dragon Maiden?",1105,The Brave Archer 5
248,1106,"In Passage 3, how many people did Rossen name at his second appearance?",1106,57 people
248,1107,"In Passage 8, which person is named after the words ""except for""?",1107,Ke Zhen'e
248,1108,"In Passage 6, what is the stated resignation date from the Peabody Essex Museum?",1108,"December 31, 2020"
249,1109,The Acheron is located in which region of northwest Greece?,1109,Epirus region
249,1110,The Austral Islands' population is about how many?,1110,"6,300"
249,1111,"In 1972, The Don't Make a Wave Committee changed their official name to what?",1111,Greenpeace Foundation
249,1112,"In 1276, a year led by Gregory X — Innocent V — Adrian V — John XXI is called what?",1112,Year of Four Popes
249,1113,Chutzpah is the quality of what?,1113,audacity
250,1114,Between which years does the UN General Debate Corpus contain every country statement in the UN General Debate?,1114,1970 and 2014
250,1115,What bracketed interval is given for the measurement of modularity?,1115,"[0,1]"
250,1116,What is the stated span for the years of overlap used for the extension?,1116,1970-2000
250,1117,What k-nearest neighbor setting is used for clustering the matrix of state speech similarities?,1117,5-nearest neighbor
