"challenge_id","question_id","question_text","answer_id","answer_text"
1,1,"Which organization appears immediately after the label ""Publisher"" in the lead story block?",1,A+E Networks
1,2,"What is the first chemical formula shown after the words ""with the formula""?",2,C2O2(OH)2
1,3,Name the cathedral stated as the current display location for the medieval map.,3,Hereford Cathedral
1,4,"What alternate name is introduced by the phrase ""also called"" for the wind instrument?",4,the been
1,5,"Starting with the season written as ""1975–76"", what exact minimum count is stated for medal qualification?",5,"14 appearances"
2,6,What is the name of the Damascus business that Adib Kheir owned?,6,Librairie Universelle
2,7,Since what year has Heather Denise Gibson been serving as Director-Advisor to the Bank of Greece?,7,"2011"
2,8,What production budget amount is stated for the film Soldier?,8,$60 million
2,9,In what year did Anderson and producer Jeremy Bolt establish Impact Pictures?,9,"1992"
2,10,What action by the new government headed by Fidel Castro is given as the reason Maria Teresa Mestre’s parents left Cuba?,10,confiscated their properties
3,11,What birth date is shown inside the parentheses after George Timothy Clooney’s name?,11,"May 6, 1961"
3,12,What date appears after the dash in the parenthetical lifespan for Phillip Ko-Fei?,12,"March 30, 2017"
3,13,What date is stated as the feast day in the Zebennus passage?,13,November 13
3,14,What amount is described as possible depending on the company's performance over the next ten years?,14,$300 million
3,15,What is the title of the short-lived CBS sitcom that includes the note “not to be confused with ER”?,15,E/R
4,16,What medal is named as being presented to Alaina Petty’s family at a memorial service on Monday?,16,The Medal of Heroism
4,17,"In the line describing holding open a door, what number appears immediately after “Wang,”?",17,"15"
4,18,"In the instruction for donating by text, what is the destination number given after the word PARKLAND?",18,"20222"
4,19,How long is the training period stated for the dogs in the comfort dog program description?,19,"16 to 18 months"
4,20,"In the update dated 6/30, what time is specified for when donations stopped being accepted?",20,"11:59PM EST"
5,21,"In the demographics section, what number is given for the city's population (2012 census)?",21,"240,924"
5,22,What year is stated for when the historic inner city became a UNESCO World Heritage Site?,22,"2002"
5,23,What number is given for the count of farthings to the old British pound?,23,"960"
5,24,What single word is given as the scientific name for the condition discussed in the Webbed toes passage?,24,syndactyly
5,25,"According to the land speed events section, the ""Bub Motorcycle Speed Trials"" are for what?",25,motorcycles only
6,26,At what time was the New York airport described as officially closed on Friday?,26,"6:12 a.m."
6,27,How many flights were said to be cancelled on Friday (per the flight tracking website mentioned)?,27,"1,600"
6,28,"In the Category 5 storms passage, which year is given for when accurate global satellite records began?",28,"1990"
6,29,"In the sentence defining wind chills, what quoted phrase appears between the dashes?",29,"""feels like"" effect"
6,30,"At the Boston shelter, what did the vice president say they won’t do to people seeking help?",30,turn anybody away
7,31,The TSA Academy is located at the Federal Law Enforcement Training Centers in what location?,31,"Glynco, Georgia"
7,32,What is the minimum amount of classroom instruction required?,32,"40 hours"
7,33,What did TSA officials cite as the reason TSA was not able to fully fund the interagency contract between TSA and FLETC?,33,continuing budget resolutions that funded the government between October 2017 and March 2018
7,34,OTD develops training curricula for TSOs based in part on what?,34,SOPs
7,35,"Under OSO’s planned new model, how long after they are hired will TSOs attend TSO Basic Training?",35,"2 to 6 months"
8,36,"In the Botany section, which item is followed by the scientific name ""(Simmondsia chinensis)""?",36,Jojoba
8,37,"For the 2009 Japanese comedy-crime film, what is the stated Japan release date?",37,"10 October 2009"
8,38,Where was the 2003 comedy-drama filmed (as stated in its description)?,38,"Sligo, Ireland"
8,39,What type of first-time role is stated for Amy Hobby in the film description?,39,directorial debut
8,40,"Complete the sentence from the plot: ""_____ is the only hope for a rescue.""",40,The tiny submersible
9,41,"In the eligibility criterion that uses the phrase ""affects fewer than"", what number is stated?",41,"200,000"
9,42,"What is the 2017 value in the statement that says the number of new designation applications ""grew from 185 in 2008 to"" a later figure?",42,"527"
9,43,"What date appears after the words ""cleared the application backlog by""?",43,"August 28, 2017"
9,44,"Which term is used immediately after the words ""is defined as"" in the sentence describing the time from receipt to an action letter?",44,one review cycle
9,45,"In the sentence stating that the marketing exclusivity incentive ""only applies to"" something, what is that object?",45,the drug’s approved indication
10,46,Which subfamily does the genus Dama belong to?,46,Cervinae
10,47,"In white-bellied musk deer, what is the maximum length of these tusks?",47,"10 cm"
10,48,Alaskan adult bull moose antlers have a normal maximum spread greater than what measurement?,48,"200 centimeters"
10,49,"In this context, ""Forest"" means an area outside what?",49,the common law
10,50,Assarting was completely prohibited until which years?,50,"1215–16"
11,51,What value is given for the February 2019 average mortgage interest rate?,51,"4.37%"
11,52,What approximate count is reported for existing home sales in 2018?,52,"5.3 million"
11,53,What amount is stated for the estimated backlog in unmet capital needs in the public housing program?,53,$25.6 billion
11,54,"After seasonal adjustments, what is done to the reported monthly housing-starts number to reflect an annual pace?",54,multiplied by 12
11,55,What duration is given as the general limit for IHP assistance following the declaration date?,55,"18 months"
12,56,"According to the passage, who is quoted as saying the statement and is identified as ""of STBTC""?",56,Julie Vera
12,57,"In the quoted restriction, what is the stated duration after someone has returned?",57,"28 days"
12,58,"In the photo caption, what mosquito is described as ""known to carry the Zika virus""?",58,An Aedes aegypti mosquito
12,59,"If increased numbers begin to be seen, what does Beard say it would trigger?",59,a massive response
12,60,Which state is identified as the only one where Zika was contracted locally?,60,Florida
13,61,"Who is named as the director of the 2015 film mentioned under the title ""I Believe in Miracles (film)""?",61,Jonny Owen
13,62,"What earlier title is stated for ""Manhattan Angel""?",62,Sweetheart of the Blues
13,63,"Which work is named as coming before the one described as being made after it in the ""Manhattan Angel"" passage?",63,I Surrender Dear
13,64,"In the disambiguation list, what year is given for when the Drifters' song item was released?",64,"1964"
13,65,"In the plot for ""A Month of Sundays (2015 film)"", what is stated after the words ""Apart from the fact that""?",65,she died a year ago
14,66,What is the capital given for the province Cotopaxi?,66,Latacunga
14,67,What height is stated for the Cotopaxi Volcano?,67,"19,388 feet"
14,68,"In the Film section, the film was written by which two people?",68,Clarke and Kubrick
14,69,Casu marzu is considered unsafe to eat when the maggots in the cheese have done what?,69,have died
14,70,Sebastiano Carezo is stated to be from which city?,70,Cadiz
15,71,What date is shown in parentheses for Steven Daniel Langton?,71,"April 15, 1983"
15,72,What ordinal count is given for how often Cortina d'Ampezzo had hosted the 1960 championships?,72,fifth time
15,73,Which place is listed as Andreas Barucha’s birth location?,73,Potsdam
15,74,Which individual is named in the statement about why the Four-man event was cancelled?,74,Toni Pensperger
15,75,"According to the text, what is the stated reason (beginning with “Due to”) that Langton and his team did compete on the second day?",75,injuries that were sustained during USA 2's crash in the second run of the four-man event
16,76,"For Elvis' Christmas Album, what title is shown in parentheses as an alternate name?",76,It's Christmas Time
16,77,What calendar date is given for the release of Elvis' Christmas Album's deluxe limited edition (LOC -1035)?,77,"October 15, 1957"
16,78,"What date is specified for the release of the album named ""Today""?",78,"May 7, 1975"
16,79,Which label is named for the UK release of the Cramps album issued in 1986?,79,Big Beat Records
16,80,"In the ""Like a Baby"" passage, which performer is named after the words ""recorded by"" in the sentence beginning ""This is not the song""?",80,Len Barry
17,81,Which metric is introduced with the parenthetical expansion “Precision And Recall of Entailed N-grams from the Table”?,81,PARENT
17,82,What iteration count is shown in parentheses after “bootstrap sampling”?,82,"500 iterations"
17,83,"During precision computation, what does PARENT effectively use of the reference and the table?",83,a union
17,84,Which mechanism is stated as not being used (with a justification introduced by “since”)?,84,coverage mechanism
17,85,What token length is given for the maximum length of a decoded text?,85,"40 tokens"
18,86,"In the death report, what hospital is named as the place where Shari Roman had died?",86,Mt. Sinai Hospital
18,87,"What publisher is stated for the 2001 publication of the book titled “Digital Babylon: Hollywood, Indiewood and Dogme '95”?",87,Lone Eagle Publishing
18,88,Under what stated alias is Ernie Santilli described as being better known?,88,Stately Wayne Manor
18,89,What is the place name given for where Schloss Hausen is located?,89,Oberaula
18,90,"In the access description, what time is specified for setting the clock hands so it unlocks?",90,"10:48 pm"
19,91,When was the JCL initiative adopted?,91,January 2009
19,92,NASA policy requires baselining and budgeting at what confidence level?,92,"70 percent"
19,93,"According to a project official, how many days of schedule reserve is the TESS project holding to its target March 2018 launch readiness date?",93,"16 days"
19,94,"At the August 2017 key decision review, what amount did NASA move from TESS headquarters-held reserves to WFIRST?",94,$15 million
19,95,A life-cycle cost estimate greater than what amount triggers the requirement to develop a joint cost and schedule confidence level (JCL)?,95,$250 million
20,96,What is the baptism date given for Hernando de Cabezón?,96,"7 September 1541"
20,97,Where was Shinn born?,97,"Hartford, Connecticut"
20,98,Vilkitsky was born in which governorate?,98,Minsk Governorate
20,99,Reactive Studios has since changed its name to what?,99,EarPlay
20,100,Which quoted title is stated as not being used as a prefix?,100,"""Sir"""
21,101,What name appears immediately after the line stating that the opinion was delivered?,101,"ASHRAFI, J.A.D."
21,102,What is the stated dollar amount of the fine for an offender?,102,$100
21,103,What time is given for the call to emergency services?,103,"17:49:15"
21,104,"In the liability holding, what phrase completes the segment ""knew or had""?",104,special reason to know
21,105,What exception is stated to the illegality of using a non-hands-free cell phone while driving?,105,certain specifically-described emergency situations
22,106,"As of April 2021, what amount is stated for the publication fee?",106,"$1,745"
22,107,"As of 2017, what impact factor (in parentheses) is given for ACS Macro Letters in the field of polymer science?",107,"6.131"
22,108,What value is stated as PLOS ONE's first impact factor?,108,"4.411"
22,109,"For Geophysical Journal International's former title ""Geophysical Journal (Oxford)"", what is the starting month and year of the stated date range?",109,January 1988
22,110,"For The Raffles Bulletin of Zoology, supplements are published as and when what permits?",110,funding permits
23,111,How many languages is XLM-R described as being pre-trained on?,111,"100 languages"
23,112,What is the parenthesized label after the description of using a monolingual English model with a machine-translated test set?,112,Translate-Test
23,113,What is the stated size of the joint vocabulary used with SentencePiece tokenization?,113,"32k subwords"
23,114,What token-length limit is given for removing sentences during corpus filtering?,114,"250 tokens"
23,115,Which dataset is explicitly described as a notable exception among translated multilingual benchmarks?,115,TyDi QA
24,116,To what level was the federal share reduced in 1981?,116,"55%"
24,117,What year is named as the target for the phaseout sought by the Reagan Administration?,117,"1990"
24,118,"In the 1986–1996 example, what is the later value given for regulated drinking water contaminants?",118,"83"
24,119,The text states federal aid would end after which fiscal year?,119,FY1994
24,120,What minimum portion of annual grants is specified in the conditional requirement for additional subsidization?,120,at least 6%
25,121,What is the lower endpoint of the stated initial training duration range?,121,eight months
25,122,What number is given for the total count of active police dogs in Denmark?,122,"240"
25,123,Which specific date is stated for A Dog's Purpose being released by Universal Pictures?,123,"January 27, 2017"
25,124,"In the stated explanation for the one-or-the-other training limitation, what capability is explicitly denied to the dog?",124,communicate to the officer if it found explosives or narcotics
25,125,"In the noted exception about overseas distribution, which organization is named as handling international sales?",125,Mister Smith Entertainment
26,126,"In the sentence beginning with “Table TABREF11 showed that about”, what is the percentage value?",126,"87.5%"
26,127,"In the clause “It consists of two layers: the Block Zoo and the …”, what is the second layer name?",127,Model Zoo
26,128,Which tagging scheme is named in the phrase “We adopted the … tagging scheme instead of IOB”?,128,BIOES
26,129,"According to the workflow description, users only need to write what?",129,a JSON configuration file
26,130,"In the WikiQA dataset description, what is the stated count of questions?",130,"3,047 questions"
27,131,What year of death is shown for Helperich (Helferich)?,131,"1118"
27,132,Which inherited title is described as mostly ceremonial at this point?,132,Count of Walbeck
27,133,What reason is given for Rudolf I being deposed by Emperor Henry V?,133,conspiracy against the crown
27,134,In what place was the inaugural meeting of the Teutonic Knights in 1198 held (as stated)?,134,Acre
27,135,What exact death date appears in parentheses for William?,135,"10 September 1056"
28,136,"What year is stated for the tract in which the phrase ""the dismal science"" first occurs?",136,"1849"
28,137,What elevation is given for Mount Narodnaya?,137,"1894 m"
28,138,Which chart name appears in the statement that the single reached #8 in April 1962?,138,Record Retailer
28,139,Mount Narodnaya is also known as Naroda and what?,139,Poenurr
28,140,Crampons may be required depending on what conditions?,140,snow and ice conditions
29,141,What percentage is stated for the memory used by neural translation models?,141,"5%"
29,142,How many sentences are stated for the complete corpus?,142,"197,792"
29,143,What is the stated maximum hidden layer size possible with a batch size of 16?,143,"500"
29,144,"In the statement describing why local attention is impractical, what two-word phrase names what exists between the English and Tamil sentences?",144,structural discordance
29,145,Which token is named as symbolizing an unknown word?,145,UNK
30,146,What inventory size of propagandist techniques is annotated at the fragment level?,146,"18 propagandist techniques"
30,147,How many propagandist news outlets were articles collected from?,147,"36"
30,148,What was the total number of submissions overall for the shared task?,148,"3,065"
30,149,How many subtasks make up FLC?,149,two subtasks
30,150,What kind of feedback was provided on the submissions in phase 2?,150,no immediate feedback
31,151,Which method is stated as usable for parameter estimation?,151,L-BFGS
31,152,How many frequent words are used as neutral features in all experiments?,152,top 10
31,153,What is the default setting given for $\lambda$ across experiments?,153,"5|K|"
31,154,"In the paper’s proportional setting for $\lambda$, what expression is provided after the word ""say""?",154,$\lambda = \beta |K|$
31,155,What is the stated requirement for the default setting to not apply?,155,explicit declaration
32,156,"What date appears inside the parentheses immediately after the name ""Randall Patrick Munroe""?",156,"October 17, 1984"
32,157,Which date is stated for when The Loud House premiered on Nickelodeon?,157,"May 2, 2016"
32,158,"In the original Puffin series, what ordinal number is Scorpion Swamp described as in the series?",158,"8th"
32,159,Which single word states how the Robot9000 muting period changes for each unoriginal message?,159,quadrupling
32,160,Which numbered reference is said to not contain an ending to the adventure in Scorpion Swamp?,160,"400th"
33,161,"In the 2015 report, IRS had conducted how many (reviews) of allocating agencies from 1986 through May 2015?",161,seven audits
33,162,"As of April 2016, the database included information from about how many of the Form 8823s received since 2009?",162,"about 4,200"
33,163,"As of March 2017, HUD’s database with property inspection data contained data from how many states?",163,"30 states"
33,164,Treasury regulations require on-site physical inspections for at least what share of a project’s low-income units?,164,"20 percent"
33,165,"According to the December 2016 revenue ruling, Section 42 neither requires nor encourages allocating agencies to reject which proposals?",165,all proposals that do not obtain the approval of the locality where the project developer proposes to place the project
34,166,Which named reports are listed as the source of participation and funding data when no other source is specified?,166,Keydata Reports
34,167,What date is given for when the authorities mentioned as created or extended in that law expired?,167,"September 30, 2015"
34,168,How many cents per lunch is the increased reimbursement amount stated for meals meeting the updated nutrition standards?,168,"6 cents"
34,169,What numeric participation figure is given in the example for the National School Lunch Program in FY2017?,169,"30.0 million"
34,170,"In the described funding formula, the ""identified student percentage"" (ISP) is multiplied by what factor?",170,"1.6"
35,171,What is the stated release date for the album Like a Virgin?,171,"November 12, 1984"
35,172,On what date was Ashanti's album Chapter II released in the United States?,172,"July 1, 2003"
35,173,At what position did Benga's album Chapter II enter the UK Albums Chart?,173,number 93
35,174,Which track is explicitly named as the exception to the statement that all tracks were produced by Nile Rodgers?,174,"""Into the Groove"""
35,175,Which song is stated as the only one so far to chart in the United Kingdom?,175,"""Pour Your Love"""
36,176,What is the largest number stated as representable “in this manner”?,176,"3,999"
36,177,Which year is given for when the Warren Covered Bridge was listed on the National Register of Historic Places?,177,"1974"
36,178,What construction cost is stated for the Goodpasture Bridge?,178,"$13,154"
36,179,Income from coin sales is used to help do what?,179,maintain the historic bridges
36,180,"In the Olympics/Super Bowl/WrestleMania examples, Super Bowl 50 was described as what?",180,one-time exception
37,181,What numeric value is reported as the model’s best accuracy?,181,"98.24%"
37,182,For how many epochs is each model trained?,182,"15 epochs"
37,183,"During feature computation, what is the frame shift value?",183,"10ms"
37,184,"After adding ghost clusters, what expression is used for the resulting number of clusters?",184,K+G
37,185,"Since the audio is very long to train a deep neural network directly, what do they do to the audio clips?",185,They segment the audio clips into smaller chunks using Voice activity detector.
38,186,What date is shown in parentheses at the beginning of Passage 1?,186,"July 18, 2013"
38,187,Which date is given for when Book Five was passed?,187,"May 22, 1996"
38,188,How many executions does Amnesty International’s report list as having taken place between 2005 and 2015?,188,"73"
38,189,"In Article 1, a child means every human being below what age?",189,eighteen years
38,190,"In Article 499, what must be proved for the stated imprisonment not to apply?",190,unaware of its aims
39,191,In what month and year did DOD first take steps to establish a CMO role?,191,May 2007
39,192,What directive number did DOD issue in October 2008 to assign DCMO authorities and responsibilities?,192,"5105.82"
39,193,"According to DOD’s guidance, the DOD DCMO should coordinate with the military department CMOs to do what?",193,identify and exchange information
39,194,On what date were all responsibilities and authorities assigned to the DCMO transferred to the CMO?,194,"February 1, 2018"
39,195,What is the report number stated at the end of the sentence about not routinely assessing the continuing need for DAFAs?,195,GAO-18-592
40,196,What dataset size (in millions) is given for the collected Flickr photos?,196,"70 million"
40,197,Before the end of which month and year were the photos uploaded to Flickr?,197,the end of September 2015
40,198,What exact quantity is stated for how many categories each location should belong to?,198,exactly 4 categories
40,199,What method name is used for predictions in the regression problems?,199,Support Vector Regression
40,200,What is the stated counting frequency for a tag occurrence across photos by the same user at the same location?,200,only once
41,201,The text states the current act “expires in” which year?,201,"2023"
41,202,"In the parenthetical identifiers for the Agriculture Improvement Act of 2018, what is the public law identifier?",202,P.L. 115-334
41,203,What percentage is shown in parentheses next to the Nutrition title in the 99% list?,203,"76%"
41,204,"According to the text, projected outlays at enactment equal what expression?",204,baseline plus the score
41,205,What dollar amount is given as the minimum scoring threshold mentioned for certain programs?,205,$50 million
42,206,What tweet-dataset size is stated as being used by the authors?,206,"1,000-tweet"
42,207,What scale-size label is given for the sentiment rating used by annotators?,207,"3-scale"
42,208,What percentage is reported as the crowdworkers' average CCR in the named-entity recognition experiment?,208,"98.6%"
42,209,"In the sentiment-analysis CCR definition, what item is counted over the groundtruth sentiments?",209,correctly-predicted sentiments
42,210,Which tool is named as the exception to the tools not being trained on tweets?,210,TwitterNLP
43,211,Who is named as the person to contact in the testimony?,211,Thomas Melito
43,212,What total amount is stated for U.S. voluntary contributions from calendar years 2014 through 2016?,212,$105 million
43,213,How many such agreements are stated as reviewed across the four agencies in the December 2017 report?,213,"12"
43,214,What system is stated as used by the other three organizations for determining member states’ quotas?,214,OAS’s system
43,215,The modification to the quota structure would not be implemented until what year (if approved)?,215,"2019"
44,216,How many languages are included in the CoVo 2019-06-12 release?,216,"29 languages"
44,217,What total number of hours of speech does CoVoST include across its 11 languages into English?,217,"708 hours"
44,218,To what sampling rate are the waveforms downsampled?,218,"16,000 Hz"
44,219,"According to the text, what two types of samples does raw CoVo data contain in terms of validation status?",219,samples that passed validation as well as those that did not
44,220,Which item is named as the exception when punctuation markers are removed from transcripts?,220,apostrophes
45,221,"In the described dataset subset, what paragraph count is stated for the LGBTQ corpus?",221,"93,977 paragraphs"
45,222,What token total is given for the LGBTQ corpus?,222,"7.36 million tokens"
45,223,"In the listed word2vec parameters, what window size is specified for context?",223,size 10
45,224,"In the quoted phrase explaining why the vermin metaphor is powerful, what behavior is mentioned?",224,threatening behavior
45,225,"Under the stated 2013 guideline, the use was confined to references to what activity?",225,sexual activity
46,226,What ISO 4217 code is stated for the newer metical?,226,MZN
46,227,Which currency is named as being replaced at par on 16 June 1980?,227,escudo
46,228,What amount is given as the fee for the move to Chelsea?,228,£50
46,229,What time is given for when the chair was the object of a bomb attack?,229,"5:40 pm"
46,230,Which monarch is named as the exception to being seated in the Coronation Chair at the moment of coronation?,230,Queen Mary II
47,231,"Since October 4, 2010, what credit score level is stated as required?",231,"500"
47,232,"For calendar year 2019, what dollar amount is given for the ceiling?",232,"$726,525"
47,233,"In FY2015, what percentage was the capital ratio estimated to be?",233,"2.07%"
47,234,"According to the text, how late must the borrower be for the mortgage to be considered in default?",234,"30 days late"
47,235,"The text states servicers must initiate foreclosure when six monthly installments are due and unpaid, except when what?",235,prohibited by law
48,236,What date is given for Maltepe University being established?,236,"July 9, 1997"
48,237,"In the Ojibwe language, Kenjgewin Teg means what?",237,a place of knowledge
48,238,What lifespan years are listed for the Anglican priest named John Camm?,238,"1718–1778"
48,239,Which single word in the parenthesis signals that Kenjgewin Teg had a prior name?,239,formerly
48,240,"Which two-word qualifier appears before the phrase ""student loans must be repaid""?",240,notable exceptions
49,241,"How many locations are TAP managers assigned to where Health, Safety, and Work-Life offices are located?",241,"13 installations"
49,242,In what year was the most recent Commandant Instruction issued?,242,"2003"
49,243,What month and year did officials say a new TAP Commandant Instruction is planned to be issued?,243,May 2018
49,244,What does the Coast Guard lack that is cited as a major reason the TAP participation data are not reliable?,244,an up-to-date Commandant Instruction
49,245,"What two-word phrase appears immediately after “Employment Workshop,” in the description of the three required courses?",245,unless exempt
50,246,"For the film Pal Pal Dil Ke Paas, how much was collected on the opening day?",246,₹1.15 crore
50,247,Where was Coney Island Baby shot?,247,"Sligo, Ireland"
50,248,"For the short film Rakka, what date is given for its release on YouTube and Steam?",248,"14 June 2017"
50,249,"For Coney Island Baby, what award did Amy Hobby win for ""Best First Time Director""?",249,Jury Award
50,250,"In Royal Tramp II, by what time must Lung-er have sex with a man (otherwise she will die)?",250,before dawn
51,251,What quantity of news domain parallel corpus is stated for the Japanese–Russian pair?,251,"12k lines"
51,252,What total count was obtained as a result of the manual compilation?,252,"1,654 lines"
51,253,What was selected at random to create the test set?,253,"600 trilingual sentences"
51,254,"According to the text, multilingual approaches are effective only when the parent target or source language is what?",254,relatively resource-rich
51,255,"According to the note, what action was not performed with multiple lines?",255,merged two or more lines
52,256,"Which title is given as an alternate reference, stated as being due to a marriage to Zhu Ju?",256,Princess Zhu
52,257,What exact date is stated for the coup d'état staged by Sun Xiu against the regent Sun Chen?,257,"18 January 259"
52,258,How many elephants are stated to have been in Abrahah's army?,258,thirteen
52,259,Which place is named as the vicarship appointment following approval by Oliver Cromwell's Commission of Triers in 1658?,259,Winterborne Whitechurch
52,260,"According to the text, after his father's death, Shaiba was raised in Yathrib with his mother and her family until about what age?",260,about the age of eight
53,261,Which item is stated as being used to strangle one's opponent?,261,Garrote wire
53,262,"In parentheses, what quoted meaning is given for the Italian word associated with Amaretto?",262,a little bitter
53,263,What quoted term is identified as another common term in the U.S.?,263,First Chair
53,264,The text gives an exception for who plays a violin solo; what is the named case for that exception?,264,a concerto
53,265,"If the concertmaster believes a section is not adequately tuned, what will he or she signal the oboe player to play?",265,"another ""A."""
