"challenge_id","question_id","question_text","answer_id","answer_text"
1102,5306,"What name is given in parentheses after the word ""born"" for Robert Hartford-Davis?",5306,William Henry Davis
1102,5307,"What alternate term appears inside the parentheses after the title ""Season of Strangers""?",5307,haiku film
1102,5308,"Which year appears immediately before the words ""AVN Hall of Fame inductee""?",5308,1995
1102,5309,"What quantity is stated for how many installments of ""The Twilight Zone"" are included in Elliot Silverstein's television work?",5309,four episodes
1102,5310,"In the 1971 Bronze Wrangler award sentence, what producer name appears after the phrase ""along with producer""?",5310,Sandy Howard
1103,5311,"As of 2012, how many public sexual harassment lawsuits is the company stated to have sued in?",5311,seven
1103,5312,What did the non-payment of the mandatory tax by the Chero rulers of Palamu lead to?,5312,three successive attacks
1103,5313,"In 1660, within what distance of Palamu did Daud Khan's force reach?",5313,3 km
1103,5314,"In the list of two large Victorian-era parks, what is the first park name given?",5314,Eastville Park
1103,5315,Below what temperature was a nighttime drop stated to be necessary for good growth?,5315,18 °C
1104,5316,What amount did Ursula quote for each ticket?,5316,90 bucks each
1104,5317,"According to Nicole, about what time will she finish?",5317,about 10PM
1104,5318,"In the island chat, what is the name mentioned after the words ""now on""?",5318,Aitutaki
1104,5319,"Complete Robert's phrase ""it requires"" with the next two words.",5319,team effort
1104,5320,"Which two day names appear after the word ""but"" in the scheduling note about availability?",5320,Thursday and Fridays
1105,5321,What is the date Dawid gives for the price cutoff?,5321,17.12
1105,5322,What address does Leo give?,5322,Hamilton West 305
1105,5323,What time do Dominic and Adam plan to meet up at the gates?,5323,2pm
1105,5324,"According to Galina, one can enter Abkhazia from where?",5324,only from Russia
1105,5325,Which day does Marianne say she goes swimming?,5325,Thursday
1106,5326,What quantity did the pope donate for the defence of the Holy Land?,5326,"40,000 marks"
1106,5327,In what year did John Montgomery Glover move to California?,5327,1850
1106,5328,What year is given for Giacomo Bosio arriving at Rome?,5328,1587
1106,5329,Whose office is named as the place where Clark studied law?,5329,Patrick Henry
1106,5330,What specific reason is stated for the Pope prohibiting the match?,5330,fourth degree consanguinity
1107,5331,"What date appears immediately after the words ""Published on"" in Passage 1?",5331,"Feb 17, 2015"
1107,5332,"At what time is the premiere stated to have occurred on July 22, 1996?",5332,11:30 P.M.
1107,5333,"What show name follows the words ""to replace Bill Maher’s""?",5333,Politically Incorrect
1107,5334,What number is given for the nightly average at the show’s peak?,5334,"357,000"
1107,5335,Which two-word phrase is shown in quotation marks as the words they avoided saying?,5335,Comedy Central
1108,5336,In what year was Puerto Rico’s constitution approved?,5336,1952
1108,5337,What amount of net public debt outstanding is stated for Puerto Rico?,5337,$67.8 billion
1108,5338,What date is given for the Oversight Board action involving PREPA?,5338,"July 2, 2017"
1108,5339,"Under federal bankruptcy laws, Puerto Rico is prohibited from authorizing which groups to petition U.S. courts to restructure debt?",5339,municipalities and instrumentalities
1108,5340,"According to the text, corporations in Puerto Rico are generally exempt from federal taxes on profits so long as those profits remain held where?",5340,outside of the states
1109,5341,In what year was the spider species listed as endangered?,5341,1995
1109,5342,What unemployment rate did Stanley Lebergott estimate for the worst days of 1933?,5342,24.9 percent
1109,5343,What year was the National Order of Merit (Ordem Nacional do Mérito) created in?,5343,1946
1109,5344,"Complete the clause: ""was intended as an Order that would"" what?",5344,fill that gap
1109,5345,What could Brazilian nationals face if they accepted foreign titles of honour without authorization?,5345,loss of citizenship
1110,5346,"In Passage 6, what date is given for when the album was released?",5346,"March 31, 2015"
1110,5347,"In Passage 2, what year is stated for when the group was founded?",5347,1976
1110,5348,"In Passage 5, which person is identified as the frontman who leads the band?",5348,Øystein Greni
1110,5349,"In Passage 10, the lineup is said to have ranged up to as many as how many members in its early days?",5349,fourteen
1110,5350,"In Passage 3, what quoted descriptor is used for the 2004 album Matt's Mood?",5350,temporary comeback
1111,5351,What dollar amount is stated for the construction cost when Bonita Vista High School opened?,5351,$2.5 million
1111,5352,What hyphenated term states how many parts High School Confidential is?,5352,eight-part
1111,5353,What mileage value is given for how far north of Orlando Lake Brantley High School is?,5353,13 miles
1111,5354,"In the description of the West Patrick Henry Road campus, what does it say the campus consists of?",5354,a complex of buildings
1111,5355,"For the courses described with a reason introduced by the word ""because"" at Eastview, what duration is stated?",5355,12 weeks
1112,5356,What percentage is stated for the Skyrim sale?,5356,65%
1112,5357,"In Ben’s reply, what time is given for the boat’s departure?",5357,At 9.
1112,5358,What room number is included in Kate’s received message?,5358,Room 342
1112,5359,Liam says the prices are good because the flight goes through which place?,5359,Addis Ababa
1112,5360,Diana says the plan is doable if what is completed?,5360,all my work done
1113,5361,How many streamgages does the network encompass?,5361,"10,300"
1113,5362,What dollar amount funded the USGS Streamgaging Network in FY2018?,5362,$189.5 million
1113,5363,An error in telemetry equipment resulted in an outage of what percentage of the network?,5363,11%
1113,5364,The USGS Cooperative Matching Funds Program (CMF) provides up to what maximum percentage match?,5364,50%
1113,5365,"For emergency or priority streamgages, stage height is transmitted more frequently at what interval?",5365,5 to 15 minute intervals
1114,5366,What year is given for when Suydam Hall was built?,5366,1873
1114,5367,What completion year is stated for the Sage Library?,5367,1875
1114,5368,"In the biography, what is stated as White's first film?",5368,A Night in a Dormitory
1114,5369,"According to the text, what was James Suydam extremely concerned with?",5369,student health
1114,5370,"In the parenthetical exception after “Since 2008”, which event is mentioned?",5370,the 2012 Olympics
1115,5371,MILCON appropriations are generally available for obligation for what duration?,5371,5 fiscal years
1115,5372,What dollar amount is stated as a reprogramming-approval limit in the regulation sentence that also mentions a percentage?,5372,$2 million
1115,5373,"In the reprogramming-approval threshold statement, what exact phrase indicates the rule for choosing between the two limits?",5373,whichever is less
