"challenge_id","question_id","question_text","answer_id","answer_text"
1302,6306,"When Jake asks, ""What kind of turkey you want?"", what does Mom reply?",6306,Chicken breed
1302,6307,What amount is stated for how much it was?,6307,$200
1302,6308,At what time does Danny say they are loading in?,6308,1pm
1302,6309,Sergio says the request will be discussed during what?,6309,next meeting
1302,6310,"Besides the company, what does Hannah say delivery depends on?",6310,delivery time
1303,6311,A Mornay sauce is a what type of sauce?,6311,Béchamel sauce
1303,6312,On what date did The Perfect Fool receive its premiere?,6312,14 May 1923
1303,6313,Castro replaced which person as head of the country’s new provisional government?,6313,Miro Cardona
1303,6314,Nightjars are in which family?,6314,Caprimulgidae
1303,6315,Propolis is used for small gaps of approximately what size or less?,6315,6 mm or less
1304,6316,What numeric limit is given for the maximum number of full-duplex voice channels on the bus?,6316,256
1304,6317,What time range is specified for the Toronto NHL team using the song after a goal at home games?,6317,1999 to 2013
1304,6318,In what year were the order's archives united with the named national archive in Madrid?,6318,1869
1304,6319,Which year is explicitly given for when the disputes finished?,6319,1230
1304,6320,What is the minimum ownership percentage required for the designated controlling-interest principal owner?,6320,35%
1305,6321,What population number is stated for Dushanbe?,6321,"778,500"
1305,6322,On what date does the text say Dyumshambe was renamed Stalinabad?,6322,16 October 1929
1305,6323,"The passage says it was ""so named"" because of a popular market held on which weekday?",6323,Monday
1305,6324,"Which character do Icelandic words never start with, according to the text?",6324,ð
1305,6325,The text compares 6 to 10 liters in the body to 3.5 to 5 liters of blood; what is the 6 to 10 liters of?,6325,lymph
1306,6326,Which section was the program originally authorized under?,6326,Section 1206
1306,6327,What month and year is given for publication of Presidential Policy Directive 23?,6327,April 2013
1306,6328,How many days before activities were initiated were congressional notifications submitted?,6328,15 days
1306,6329,"In the listed elements of complete sustainment plans, what costs are to be estimated?",6329,annual sustainment costs
1306,6330,Under what condition did project implementation not begin immediately after the 15-day notification period?,6330,if congressional staff requested additional time for briefings and for DOD to ensure that the congressional committees agreed with the proposed activities
1307,6331,Which producer name appears first in the producer line?,6331,John Bickers
1307,6332,Who is the second translator listed on the translation credit line?,6332,Clara Bell
1307,6333,What approximate distance is stated from Vendome for the house being described?,6333,a hundred paces
1307,6334,"In the notary’s wording, what is stated to be the same as a wall?",6334,A hedge
1307,6335,"According to the will, what must be true at the expiration of the fifty-year term for the house to become the property of the notary's heirs?",6335,the will of the testatrix has been duly carried out
1308,6336,"What is the value shown after the label ""Publish Date:""?",6336,23 Feb 2023
1308,6337,"In the Title line, what are the first four words after ""Title:""?",6337,Age and market capitalization
1308,6338,How many cryptocurrencies are stated in the daily price time series used for the results?,6338,7111
1308,6339,What inequality is given for rejecting the power-law hypothesis?,6339,p-value ≤ 0.1
1308,6340,The fraction is calculated only for weeks in which the hypothesis is not rejected for what?,6340,both tails
1309,6341,What number is stated for the Fisheries Division's present size?,6341,165
1309,6342,How many people worldwide are said to have dyslexia?,6342,700 million
